i,timestamp(ns),AX(m/s2),AY(m/s2),AZ(m/s2),GX(rad/s),GY(rad/s),GZ(rad/s),T(C)
242,99524796877,-0.31979,0.09472,-9.60067,0.00083,0.00079,-0.00123,38.56
243,99525672440,-0.13851,0.28148,-9.66761,-0.00237,0.00186,-0.00337,38.56
244,99526548003,0.13818,0.59275,-9.73456,0.00083,-0.00027,0.00090,38.57
245,99527423566,0.19542,0.59754,-9.71065,0.00615,-0.00773,0.00622,38.57
246,99528299129,-0.09558,0.35331,-9.65805,0.00615,-0.00347,0.00622,38.57
247,99529174692,-0.30071,0.18092,-9.61023,0.00083,0.00292,0.00409,38.57
248,99530050255,-0.22915,0.17134,-9.61979,-0.00130,0.00399,-0.00230,38.56
249,99530925818,0.00460,0.46345,-9.71543,-0.00237,0.00292,-0.00443,38.56
250,99531800442,0.22882,0.66458,-9.74412,0.00296,0.00612,0.00090,38.57
251,99532675065,0.09047,0.50655,-9.64848,0.00722,0.00079,0.00090,38.57
252,99533549688,-0.23869,0.24317,-9.59110,0.00722,0.00505,-0.00230,38.57
253,99534424311,-0.31025,0.12345,-9.59588,0.00509,0.00932,-0.00550,38.57
254,99535298934,-0.18144,0.25275,-9.66283,0.00083,0.00932,-0.00869,38.57
255,99536173557,0.04754,0.59754,-9.73934,0.00083,0.00612,-0.00550,38.57
256,99537048180,0.17157,0.68852,-9.73456,0.00083,0.00079,0.00409,38.58
257,99537922803,-0.08604,0.42993,-9.68196,0.00083,-0.00240,0.00622,38.57
258,99538797426,-0.33887,0.20007,-9.66283,-0.00024,0.00186,0.00303,38.57
259,99539672049,-0.29117,0.15697,-9.67239,-0.00130,0.00505,-0.00230,38.57
260,99540547003,-0.10035,0.41557,-9.72021,-0.00557,0.00505,-0.00337,38.57
261,99541421954,0.14772,0.67895,-9.76803,-0.00450,-0.00027,0.00196,38.57
262,99542296905,0.11432,0.57359,-9.72499,-0.00024,-0.00134,0.00729,38.57
263,99543171856,-0.17667,0.29585,-9.67717,-0.00130,-0.00027,0.00729,38.57
